code,title,description
111940,Hay Farming,"This industry comprises establishments primarily engaged in growing hay."
111991,Sugar Beet Farming,"This industry comprises establishments primarily engaged in growing sugar beets."
111992,Peanut Farming,"This industry comprises establishments primarily engaged in growing peanuts."
111998,All Other Miscellaneous Crop Farming,"This industry comprises establishments primarily engaged in growing crops (except oilseeds and grains, vegetables and melons, fruit and tree nuts, floriculture products, and nursery and tree products)."
112111,Beef Cattle Ranching and Farming,"This industry comprises establishments primarily engaged in raising cattle (including bulls and buffalos)."
112112,Cattle Feedlots,"This industry comprises establishments primarily engaged in feeding cattle for fattening."
112120,Dairy Cattle and Milk Production,"This industry comprises establishments primarily engaged in milking dairy cattle."
112130,Dual-Purpose Cattle Ranching and Farming,"This industry comprises establishments primarily engaged in raising cattle for both milking and meat production."
112210,Hog and Pig Farming,"This industry comprises establishments primarily engaged in raising hogs and pigs."
112310,Chicken Egg Production,"This industry comprises establishments primarily engaged in raising chickens for egg production."
112320,Broilers and Other Meat Type Chicken Production,"This industry comprises establishments primarily engaged in raising chickens for meat production."
112330,Turkey Production,"This industry comprises establishments primarily engaged in raising turkeys."
112340,Poultry Hatcheries,"This industry comprises establishments primarily engaged in hatching poultry."
112390,Other Poultry Production,"This industry comprises establishments primarily engaged in raising poultry (except chickens and turkeys)."
112410,Sheep Farming,"This industry comprises establishments primarily engaged in raising sheep and lambs."
112420,Goat Farming,"This industry comprises establishments primarily engaged in raising goats."
112510,Aquaculture,"This industry comprises establishments primarily engaged in farm-raising finfish, shellfish, and other aquatic animals."
112910,Apiculture,"This industry comprises establishments primarily engaged in raising bees and producing honey."
112920,Horses and Other Equine Production,"This industry comprises establishments primarily engaged in raising horses, mules, donkeys, and other equines."
112930,Fur-Bearing Animal and Rabbit Production,"This industry comprises establishments primarily engaged in raising fur-bearing animals and rabbits."
112990,All Other Animal Production,"This industry comprises establishments primarily engaged in raising animals (except cattle, poultry, sheep, goats, aquatic animals, bees, horses, and fur-bearing animals)."
113110,Timber Tract Operations,"This industry comprises establishments primarily engaged in growing and harvesting timber."
113210,Forest Nurseries and Gathering of Forest Products,"This industry comprises establishments primarily engaged in growing trees for reforestation and gathering forest products."
113310,Logging,"This industry comprises establishments primarily engaged in cutting timber and producing logs, bolts, and other wood products."
114111,Finfish Fishing,"This industry comprises establishments primarily engaged in the commercial catching of finfish."
114112,Shellfish Fishing,"This industry comprises establishments primarily engaged in the commercial catching of shellfish."
114119,Other Marine Fishing,"This industry comprises establishments primarily engaged in the commercial catching of marine animals (except finfish and shellfish)."
114210,Hunting and Trapping,"This industry comprises establishments primarily engaged in hunting, trapping, game propagation, and wildlife management."
115111,Cotton Ginning,"This industry comprises establishments primarily engaged in ginning cotton."
115112,Soil Preparation Planting and Cultivating,"This industry comprises establishments primarily engaged in providing soil preparation, planting, and cultivating services."
115113,Crop Harvesting Primarily by Machine,"This industry comprises establishments primarily engaged in providing crop harvesting services using machinery."
115114,Postharvest Crop Activities (except Cotton Ginning),"This industry comprises establishments primarily engaged in providing postharvest crop services (except cotton ginning)."
115115,Farm Labor Contractors and Crew Leaders,"This industry comprises establishments primarily engaged in supplying labor for agricultural production."
115116,Farm Management Services,"This industry comprises establishments primarily engaged in providing farm management services."
115210,Support Activities for Animal Production,"This industry comprises establishments primarily engaged in providing support services for animal production."
115310,Support Activities for Forestry,"This industry comprises establishments primarily engaged in providing support services for forestry."
21,Mining Quarrying and Oil and Gas Extraction,"This sector comprises establishments that extract naturally occurring mineral solids, liquid minerals, and gases."
211120,Crude Petroleum Extraction,"This industry comprises establishments primarily engaged in extracting crude petroleum from subsurface reservoirs."
211130,Natural Gas Extraction,"This industry comprises establishments primarily engaged in extracting natural gas from subsurface reservoirs."
212111,Bituminous Coal and Lignite Surface Mining,"This industry comprises establishments primarily engaged in surface mining of bituminous coal and lignite."
212112,Bituminous Coal Underground Mining,"This industry comprises establishments primarily engaged in underground mining of bituminous coal."
212113,Anthracite Mining,"This industry comprises establishments primarily engaged in mining anthracite coal."
212210,Iron Ore Mining,"This industry comprises establishments primarily engaged in mining iron ores."
212221,Gold Ore Mining,"This industry comprises establishments primarily engaged in mining gold ores."
212222,Silver Ore Mining,"This industry comprises establishments primarily engaged in mining silver ores."
212230,Copper Nickel Lead and Zinc Mining,"This industry comprises establishments primarily engaged in mining copper, nickel, lead, and zinc ores."
212291,Uranium-Radium-Vanadium Ore Mining,"This industry comprises establishments primarily engaged in mining uranium, radium, and vanadium ores."
212299,All Other Metal Ore Mining,"This industry comprises establishments primarily engaged in mining metal ores (except iron, gold, silver, copper, nickel, lead, zinc, and uranium-radium-vanadium)."
212311,Dimension Stone Mining and Quarrying,"This industry comprises establishments primarily engaged in developing the mine site and/or mining dimension stone."
212312,Crushed and Broken Limestone Mining and Quarrying,"This industry comprises establishments primarily engaged in developing the mine site and/or mining or quarrying crushed and broken limestone."
212313,Crushed and Broken Granite Mining and Quarrying,"This industry comprises establishments primarily engaged in developing the mine site and/or mining or quarrying crushed and broken granite."
212319,Other Crushed and Broken Stone Mining and Quarrying,"This industry comprises establishments primarily engaged in developing the mine site and/or mining or quarrying crushed and broken stone (except limestone and granite)."
212321,Construction Sand and Gravel Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining or quarrying construction sand and gravel."
212322,Industrial Sand Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining or quarrying industrial sand."
212324,Kaolin and Ball Clay Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining kaolin and ball clay."
212325,Clay and Ceramic and Refractory Minerals Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining clay and ceramic and refractory minerals."
212391,Potash Soda and Borate Mineral Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining potash, soda, and borate minerals."
212392,Phosphate Rock Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining phosphate rock."
212393,Chemical and Fertilizer Mineral Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining chemical and fertilizer minerals (except potash, soda, borates, and phosphate rock)."
212399,All Other Nonmetallic Mineral Mining,"This industry comprises establishments primarily engaged in developing the mine site and/or mining nonmetallic minerals (except stone, sand, gravel, clay, ceramic, refractory minerals, potash, soda, borates, phosphate rock, and chemical and fertilizer minerals)."
213111,Drilling Oil and Gas Wells,"This industry comprises establishments primarily engaged in drilling oil and gas wells."
213112,Support Activities for Oil and Gas Operations,"This industry comprises establishments primarily engaged in providing support activities for oil and gas operations (except site preparation and related construction activities)."
213113,Support Activities for Coal Mining,"This industry comprises establishments primarily engaged in providing support activities for coal mining."
213114,Support Activities for Metal Mining,"This industry comprises establishments primarily engaged in providing support activities for metal mining."
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,"This industry comprises establishments primarily engaged in providing support activities for nonmetallic mineral mining (except fuel)."
22,Utilities,"This sector comprises establishments engaged in the provision of electric power, natural gas, steam supply, water supply, and sewage removal."
221111,Hydroelectric Power Generation,"This industry comprises establishments primarily engaged in operating hydroelectric power generation facilities."
221112,Fossil Fuel Electric Power Generation,"This industry comprises establishments primarily engaged in operating fossil fuel electric power generation facilities."
221113,Nuclear Electric Power Generation,"This industry comprises establishments primarily engaged in operating nuclear electric power generation facilities."
221114,Solar Electric Power Generation,"This industry comprises establishments primarily engaged in operating solar electric power generation facilities."
221115,Wind Electric Power Generation,"This industry comprises establishments primarily engaged in operating wind electric power generation facilities."
221116,Geothermal Electric Power Generation,"This industry comprises establishments primarily engaged in operating geothermal electric power generation facilities."
221117,Biomass Electric Power Generation,"This industry comprises establishments primarily engaged in operating biomass electric power generation facilities."
221118,Other Electric Power Generation,"This industry comprises establishments primarily engaged in operating electric power generation facilities (except hydroelectric, fossil fuel, nuclear, solar, wind, geothermal, and biomass)."
221121,Electric Bulk Power Transmission and Control,"This industry comprises establishments primarily engaged in operating electric power transmission systems and/or controlling transmission networks."
221122,Electric Power Distribution,"This industry comprises establishments primarily engaged in operating electric power distribution systems."
221210,Natural Gas Distribution,"This industry comprises establishments primarily engaged in operating gas distribution systems."
221310,Water Supply and Irrigation Systems,"This industry comprises establishments primarily engaged in operating water treatment plants and/or water supply systems."
221320,Sewage Treatment Facilities,"This industry comprises establishments primarily engaged in operating sewer systems or sewage treatment facilities."
221330,Steam and Air-Conditioning Supply,"This industry comprises establishments primarily engaged in providing steam, heated air, or cooled air."
23,Construction,"This sector comprises establishments primarily engaged in the construction of buildings or engineering projects (e.g., highways and utility systems)."
236115,New Single-Family Housing Construction (except For-Sale Builders),"This industry comprises establishments primarily engaged in building new single-family housing units (except for-sale builders)."
236116,New Multifamily Housing Construction (except For-Sale Builders),"This industry comprises establishments primarily engaged in building new multifamily housing units (except for-sale builders)."
236117,New Housing For-Sale Builders,"This industry comprises establishments primarily engaged in building new housing units for sale."
236118,Residential Remodelers,"This industry comprises establishments primarily engaged in renovating, repairing, and remodeling residential buildings."
236210,Industrial Building Construction,"This industry comprises establishments primarily engaged in constructing industrial buildings (except warehouses)."
236220,Commercial and Institutional Building Construction,"This industry comprises establishments primarily engaged in constructing commercial, institutional, and other nonresidential buildings."
237110,Water and Sewer Line and Related Structures Construction,"This industry comprises establishments primarily engaged in constructing water and sewer lines and related structures."
237120,Oil and Gas Pipeline and Related Structures Construction,"This industry comprises establishments primarily engaged in constructing oil and gas pipelines and related structures."
237130,Power and Communication Line and Related Structures Construction,"This industry comprises establishments primarily engaged in constructing power and communication lines and related structures."
237210,Land Subdivision,"This industry comprises establishments primarily engaged in subdividing real property into lots."
237310,Highway Street and Bridge Construction,"This industry comprises establishments primarily engaged in constructing highways, streets, roads, and bridges."
237990,Other Heavy and Civil Engineering Construction,"This industry comprises establishments primarily engaged in heavy and civil engineering construction projects (except highway, street, and bridge construction)."
238110,Poured Concrete Foundation and Structure Contractors,"This industry comprises establishments primarily engaged in pouring and finishing concrete foundations and structures."
238120,Structural Steel and Precast Concrete Contractors,"This industry comprises establishments primarily engaged in erecting structural steel and precast concrete members."
238130,Framing Contractors,"This industry comprises establishments primarily engaged in framing buildings and structures."
238140,Masonry Contractors,"This industry comprises establishments primarily engaged in masonry work, stone setting, and other stonework."
238150,Glass and Glazing Contractors,"This industry comprises establishments primarily engaged in installing glass and glazing."
238160,Roofing Contractors,"This industry comprises establishments primarily engaged in roofing."
238170,Siding Contractors,"This industry comprises establishments primarily engaged in installing siding."
238190,Other Foundation Structure and Building Exterior Contractors,"This industry comprises establishments primarily engaged in building foundation, structure, and exterior work (except poured concrete, structural steel, framing, masonry, glass, roofing, and siding)."
238210,Electrical Contractors and Other Wiring Installation Contractors,"This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment."
238220,Plumbing Heating and Air-Conditioning Contractors,"This industry comprises establishments primarily engaged in installing and servicing plumbing, heating, and air-conditioning equipment."
238290,Other Building Equipment Contractors,"This industry comprises establishments primarily engaged in installing and servicing building equipment (except electrical, plumbing, heating, and air-conditioning)."
238310,Drywall and Insulation Contractors,"This industry comprises establishments primarily engaged in drywall, plaster, and insulation installation."
238320,Painting and Wall Covering Contractors,"This industry comprises establishments primarily engaged in painting and hanging wall coverings."
238330,Flooring Contractors,"This industry comprises establishments primarily engaged in laying, finishing, and refinishing floor coverings."
238340,Tile and Terrazzo Contractors,"This industry comprises establishments primarily engaged in installing tile, terrazzo, and marble."
238350,Finish Carpentry Contractors,"This industry comprises establishments primarily engaged in finish carpentry."
238390,Other Building Finishing Contractors,"This industry comprises establishments primarily engaged in building finishing work (except drywall, painting, flooring, tile, and finish carpentry)."
238910,Site Preparation Contractors,"This industry comprises establishments primarily engaged in site preparation."
238990,All Other Specialty Trade Contractors,"This industry comprises establishments primarily engaged in specialty trade work (except building foundation, structure, exterior, equipment, and finishing)."
31-33,Manufacturing,"This sector comprises establishments engaged in the mechanical, physical, or chemical transformation of materials, substances, or components into new products."
311111,Dog and Cat Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing dog and cat food."
311119,Other Animal Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing animal food (except dog and cat food)."
311211,Flour Milling,"This industry comprises establishments primarily engaged in milling flour from grains."
311212,Rice Milling,"This industry comprises establishments primarily engaged in milling rice."
311213,Malt Manufacturing,"This industry comprises establishments primarily engaged in manufacturing malt."
311221,Wet Corn Milling,"This industry comprises establishments primarily engaged in wet milling corn."
311224,Soybean and Other Oilseed Processing,"This industry comprises establishments primarily engaged in processing soybeans and other oilseeds."
311225,Fats and Oils Refining and Blending,"This industry comprises establishments primarily engaged in refining and blending fats and oils."
311230,Breakfast Cereal Manufacturing,"This industry comprises establishments primarily engaged in manufacturing breakfast cereals."
311313,Beet Sugar Manufacturing,"This industry comprises establishments primarily engaged in manufacturing beet sugar."
311314,Cane Sugar Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cane sugar."
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,"This industry comprises establishments primarily engaged in manufacturing chocolate and confectionery from cacao beans."
311352,Confectionery Manufacturing from Purchased Chocolate,"This industry comprises establishments primarily engaged in manufacturing confectionery from purchased chocolate."
311353,Nonchocolate Confectionery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing nonchocolate confectionery."
311411,Frozen Fruit Juice and Vegetable Manufacturing,"This industry comprises establishments primarily engaged in manufacturing frozen fruits, juices, and vegetables."
311412,Frozen Specialties Manufacturing,"This industry comprises establishments primarily engaged in manufacturing frozen specialties."
311421,Fruit and Vegetable Canning,"This industry comprises establishments primarily engaged in canning fruits and vegetables."
311422,Specialty Canning,"This industry comprises establishments primarily engaged in specialty canning."
311423,Dried and Dehydrated Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing dried and dehydrated foods."
311511,Fluid Milk Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fluid milk and dairy products."
311512,Creamery Butter Manufacturing,"This industry comprises establishments primarily engaged in manufacturing creamery butter."
311513,Cheese Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cheese."
311514,Dry Condensed and Evaporated Dairy Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing dry, condensed, and evaporated dairy products."
311520,Ice Cream and Frozen Dessert Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ice cream and frozen desserts."
311611,Animal (except Poultry) Slaughtering,"This industry comprises establishments primarily engaged in slaughtering animals (except poultry)."
311612,Meat Processed from Carcasses,"This industry comprises establishments primarily engaged in processing meat from carcasses."
311613,Rendering and Meat Byproduct Processing,"This industry comprises establishments primarily engaged in rendering and processing meat byproducts."
311615,Poultry Processing,"This industry comprises establishments primarily engaged in slaughtering and processing poultry."
311710,Seafood Product Preparation and Packaging,"This industry comprises establishments primarily engaged in preparing and packaging seafood products."
311811,Retail Bakeries,"This industry comprises establishments primarily engaged in retailing baked goods."
311812,Commercial Bakeries,"This industry comprises establishments primarily engaged in commercial baking."
311813,Frozen Cakes Pies and Other Pastries Manufacturing,"This industry comprises establishments primarily engaged in manufacturing frozen cakes, pies, and other pastries."
311821,Cookie and Cracker Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cookies and crackers."
311824,Flour Mixes and Dough Manufacturing from Purchased Flour,"This industry comprises establishments primarily engaged in manufacturing flour mixes and dough from purchased flour."
311830,Tortilla Manufacturing,"This industry comprises establishments primarily engaged in manufacturing tortillas."
311911,Roasted Nuts and Peanut Butter Manufacturing,"This industry comprises establishments primarily engaged in roasting nuts and manufacturing peanut butter."
311919,Other Snack Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing snack foods (except roasted nuts and peanut butter)."
311920,Coffee and Tea Manufacturing,"This industry comprises establishments primarily engaged in manufacturing coffee and tea."
311930,Flavoring Syrup and Concentrate Manufacturing,"This industry comprises establishments primarily engaged in manufacturing flavoring syrups and concentrates."
311941,Mayonnaise Dressing and Other Prepared Sauce Manufacturing,"This industry comprises establishments primarily engaged in manufacturing mayonnaise, dressings, and prepared sauces."
311942,Spice and Extract Manufacturing,"This industry comprises establishments primarily engaged in manufacturing spices and extracts."
311991,Perishable Prepared Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing perishable prepared foods."
311999,All Other Miscellaneous Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing food (except animal food, grain and oilseed milling, sugar and confectionery, fruit and vegetable preserving, dairy, meat, seafood, bakeries, tortillas, snack foods, coffee and tea, flavoring syrups, and sauces)."
312111,Soft Drink Manufacturing,"This industry comprises establishments primarily engaged in manufacturing soft drinks."
312112,Bottled Water Manufacturing,"This industry comprises establishments primarily engaged in manufacturing bottled water."
312113,Ice Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ice."
312120,Breweries,"This industry comprises establishments primarily engaged in brewing beer."
312130,Wineries,"This industry comprises establishments primarily engaged in manufacturing wines and brandies."
312140,Distilleries,"This industry comprises establishments primarily engaged in distilling alcoholic beverages (except brandies)."
312210,Tobacco Stemming and Redrying,"This industry comprises establishments primarily engaged in stemming and redrying tobacco."
312230,Tobacco Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing tobacco products."
313110,Fiber Yarn and Thread Mills,"This industry comprises establishments primarily engaged in spinning yarn and thread from fibers."
313110,Thread Mills,"This industry comprises establishments primarily engaged in manufacturing thread."
313210,Broadwoven Fabric Mills,"This industry comprises establishments primarily engaged in weaving broadwoven fabrics."
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,"This industry comprises establishments primarily engaged in weaving narrow fabrics and Schiffli machine embroidery."
313230,Nonwoven Fabric Mills,"This industry comprises establishments primarily engaged in manufacturing nonwoven fabrics."
313240,Knit Fabric Mills,"This industry comprises establishments primarily engaged in manufacturing knit fabrics."
313310,Textile and Fabric Finishing Mills,"This industry comprises establishments primarily engaged in finishing textiles and fabrics."
313320,Fabric Coating Mills,"This industry comprises establishments primarily engaged in coating fabrics."
314110,Carpet and Rug Mills,"This industry comprises establishments primarily engaged in manufacturing carpets and rugs."
314120,Curtain and Linen Mills,"This industry comprises establishments primarily engaged in manufacturing curtains and linens."
314910,Textile Bag and Canvas Mills,"This industry comprises establishments primarily engaged in manufacturing textile bags and canvas products."
314994,Rope Cord Twine Tire Cord and Tire Fabric Mills,"This industry comprises establishments primarily engaged in manufacturing rope, cord, twine, tire cord, and tire fabric."
314999,All Other Miscellaneous Textile Product Mills,"This industry comprises establishments primarily engaged in manufacturing textile products (except carpets and rugs, curtains and linens, textile bags and canvas, and rope and cord)."
315110,Hosiery and Sock Mills,"This industry comprises establishments primarily engaged in manufacturing hosiery and socks."
315190,Other Apparel Knitting Mills,"This industry comprises establishments primarily engaged in manufacturing knit apparel (except hosiery and socks)."
315210,Cut and Sew Apparel Contractors,"This industry comprises establishments primarily engaged in cutting and sewing apparel on a contract basis."
315220,Men's and Boys' Cut and Sew Apparel Manufacturing,"This industry comprises establishments primarily engaged in manufacturing men's and boys' cut and sew apparel."
315240,Women's Girls' and Infants' Cut and Sew Apparel Manufacturing,"This industry comprises establishments primarily engaged in manufacturing women's, girls', and infants' cut and sew apparel."
315280,Other Cut and Sew Apparel Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cut and sew apparel (except men's, boys', women's, girls', and infants')."
315990,Apparel Accessories and Other Apparel Manufacturing,"This industry comprises establishments primarily engaged in manufacturing apparel accessories and other apparel."
316110,Leather and Hide Tanning and Finishing,"This industry comprises establishments primarily engaged in tanning and finishing leather and hides."
316210,Footwear Manufacturing,"This industry comprises establishments primarily engaged in manufacturing footwear."
316990,Other Leather and Allied Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing leather and allied products (except footwear)."
321110,Sawmills,"This industry comprises establishments primarily engaged in sawing lumber from logs and bolts."
321211,Hardwood Veneer and Plywood Manufacturing,"This industry comprises establishments primarily engaged in manufacturing hardwood veneer and plywood."
321212,Softwood Veneer and Plywood Manufacturing,"This industry comprises establishments primarily engaged in manufacturing softwood veneer and plywood."
321213,Engineered Wood Member (except Truss) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing engineered wood members (except trusses)."
321214,Truss Manufacturing,"This industry comprises establishments primarily engaged in manufacturing trusses."
321219,Reconstituted Wood Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing reconstituted wood products."
321910,Millwork,"This industry comprises establishments primarily engaged in manufacturing millwork."
321920,Wood Container and Pallet Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wood containers and pallets."
321991,Manufactured Home (Mobile Home) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing manufactured homes (mobile homes)."
321992,Prefabricated Wood Building Manufacturing,"This industry comprises establishments primarily engaged in manufacturing prefabricated wood buildings."
321999,All Other Miscellaneous Wood Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wood products (except sawmills, veneer and plywood, engineered wood members, reconstituted wood products, millwork, wood containers, manufactured homes, and prefabricated buildings)."
322110,Pulp Mills,"This industry comprises establishments primarily engaged in manufacturing pulp."
322121,Paper (except Newsprint) Mills,"This industry comprises establishments primarily engaged in manufacturing paper (except newsprint)."
322122,Newsprint Mills,"This industry comprises establishments primarily engaged in manufacturing newsprint."
322130,Paperboard Mills,"This industry comprises establishments primarily engaged in manufacturing paperboard."
322211,Corrugated and Solid Fiber Box Manufacturing,"This industry comprises establishments primarily engaged in manufacturing corrugated and solid fiber boxes."
322212,Folding Paperboard Box Manufacturing,"This industry comprises establishments primarily engaged in manufacturing folding paperboard boxes."
322219,Other Paperboard Container Manufacturing,"This industry comprises establishments primarily engaged in manufacturing paperboard containers (except corrugated and solid fiber boxes and folding paperboard boxes)."
322220,Paper Bag and Coated and Treated Paper Manufacturing,"This industry comprises establishments primarily engaged in manufacturing paper bags and coated and treated paper."
322230,Stationery Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing stationery products."
322291,Sanitary Paper Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing sanitary paper products."
322299,All Other Converted Paper Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing converted paper products (except corrugated and solid fiber boxes, folding paperboard boxes, paperboard containers, paper bags, coated and treated paper, stationery products, and sanitary paper products)."
323111,Commercial Printing (except Screen and Books),"This industry comprises establishments primarily engaged in commercial printing (except screen printing and book printing)."
323113,Commercial Screen Printing,"This industry comprises establishments primarily engaged in commercial screen printing."
323117,Books Printing,"This industry comprises establishments primarily engaged in printing books."
323120,Support Activities for Printing,"This industry comprises establishments primarily engaged in providing support activities for printing."
324110,Petroleum Refineries,"This industry comprises establishments primarily engaged in petroleum refining."
324121,Asphalt Paving Mixture and Block Manufacturing,"This industry comprises establishments primarily engaged in manufacturing asphalt paving mixtures and blocks."
324122,Asphalt Shingle and Coating Materials Manufacturing,"This industry comprises establishments primarily engaged in manufacturing asphalt shingles and coating materials."
324191,Petroleum Lubricating Oil and Grease Manufacturing,"This industry comprises establishments primarily engaged in manufacturing petroleum lubricating oils and greases."
324199,All Other Petroleum and Coal Products Manufacturing,"This industry comprises establishments primarily engaged in manufacturing petroleum and coal products (except petroleum refineries, asphalt paving mixtures and blocks, asphalt shingles and coating materials, and petroleum lubricating oils and greases)."
325110,Petrochemical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing petrochemicals."
325120,Industrial Gas Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial gases."
325130,Synthetic Dye and Pigment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing synthetic dyes and pigments."
325180,Other Basic Inorganic Chemical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing basic inorganic chemicals."
325193,Ethyl Alcohol Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ethyl alcohol."
325194,Cyclic Crude Intermediate and Gum and Wood Chemical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cyclic crudes and intermediates and gum and wood chemicals."
325199,All Other Basic Organic Chemical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing basic organic chemicals (except petrochemicals, industrial gases, synthetic dyes and pigments, basic inorganic chemicals, ethyl alcohol, and cyclic crudes and intermediates)."
325211,Plastics Material and Resin Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics materials and resins."
325212,Synthetic Rubber Manufacturing,"This industry comprises establishments primarily engaged in manufacturing synthetic rubber."
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,"This industry comprises establishments primarily engaged in manufacturing artificial and synthetic fibers and filaments."
325311,Nitrogenous Fertilizer Manufacturing,"This industry comprises establishments primarily engaged in manufacturing nitrogenous fertilizers."
325312,Phosphatic Fertilizer Manufacturing,"This industry comprises establishments primarily engaged in manufacturing phosphatic fertilizers."
325314,Fertilizer (Mixing Only) Manufacturing,"This industry comprises establishments primarily engaged in mixing fertilizers."
325320,Pesticide and Other Agricultural Chemical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing pesticides and other agricultural chemicals."
325411,Medicinal and Botanical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing medicinal and botanical preparations."
325412,Pharmaceutical Preparation Manufacturing,"This industry comprises establishments primarily engaged in manufacturing pharmaceutical preparations."
325413,In-Vitro Diagnostic Substance Manufacturing,"This industry comprises establishments primarily engaged in manufacturing in-vitro diagnostic substances."
325414,Biological Product (except Diagnostic) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing biological products (except diagnostic substances)."
325510,Paint and Coating Manufacturing,"This industry comprises establishments primarily engaged in manufacturing paints and coatings."
325520,Adhesive Manufacturing,"This industry comprises establishments primarily engaged in manufacturing adhesives."
